frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
475,19.791666666666668,run,4,2,0,0,1,0,0,7
477,19.875,run,4,2,0,0,1,0,0,7
479,19.958333333333332,run,4,2,0,0,1,0,0,7
481,20.041666666666668,run,4,2,0,0,1,0,0,7
483,20.125,pushup,5,2,0,0,1,0,0,8
485,20.208333333333332,pushup,5,2,0,0,1,0,0,8
487,20.291666666666668,pushup,5,2,0,0,1,0,0,8
489,20.375,pushup,5,2,0,0,1,0,0,8
491,20.458333333333332,pushup,5,2,0,0,1,0,0,8
493,20.541666666666668,pushup,5,2,0,0,1,0,0,8
495,20.625,pushup,5,2,0,0,1,0,0,8
497,20.708333333333332,pushup,5,2,0,0,1,0,0,8
499,20.791666666666668,pushup,5,2,0,0,1,0,0,8
501,20.875,pushup,5,2,0,0,1,0,0,8
503,20.958333333333332,pushup,5,2,0,0,1,0,0,8
505,21.041666666666668,pushup,5,2,0,0,1,0,0,8
507,21.125,pushup,5,2,0,0,1,0,0,8
509,21.208333333333332,pushup,5,2,0,0,1,0,0,8
511,21.291666666666668,pushup,5,2,0,0,1,0,0,8
513,21.375,pushup,5,2,0,0,1,0,0,8
515,21.458333333333332,pushup,5,2,0,0,1,0,0,8
517,21.541666666666668,pushup,5,2,0,0,1,0,0,8
519,21.625,pushup,5,2,0,0,1,0,0,8
521,21.708333333333332,pushup,5,2,0,0,1,0,0,8
523,21.791666666666668,pushup,5,2,0,0,1,0,0,8
525,21.875,pushup,5,2,0,0,1,0,0,8
527,21.958333333333332,pushup,5,2,0,0,1,0,0,8
529,22.041666666666668,pushup,5,2,0,0,1,0,0,8
531,22.125,pushup,5,2,0,0,1,0,0,8
533,22.208333333333332,pushup,5,2,0,0,1,0,0,8
535,22.291666666666668,pushup,5,2,0,0,1,0,0,8
537,22.375,pushup,5,2,0,0,1,0,0,8
539,22.458333333333332,pushup,5,2,0,0,1,0,0,8
541,22.541666666666668,pushup,5,2,0,0,1,0,0,8
543,22.625,pullup,5,2,0,1,1,0,0,9
545,22.708333333333332,pullup,5,2,0,1,1,0,0,9
547,22.791666666666668,pullup,5,2,0,1,1,0,0,9
549,22.875,pullup,5,2,0,1,1,0,0,9
551,22.958333333333332,pullup,5,2,0,1,1,0,0,9
553,23.041666666666668,pullup,5,2,0,1,1,0,0,9
555,23.125,pullup,5,2,0,1,1,0,0,9
557,23.208333333333332,pullup,5,2,0,1,1,0,0,9
559,23.291666666666668,pullup,5,2,0,1,1,0,0,9
561,23.375,pullup,5,2,0,1,1,0,0,9
563,23.458333333333332,pullup,5,2,0,1,1,0,0,9
565,23.541666666666668,pullup,5,2,0,1,1,0,0,9
567,23.625,pullup,5,2,0,1,1,0,0,9
